treatment,baseline_outcome,observed_outcome
0,3.7390830916290447,3.5384784883567058
0,8.274164815985484,8.628964555677268
0,3.439712237224456,3.9037200668002994
0,6.470538619949975,6.574784605237766
1,3.8816723298815834,5.704430868533282
0,4.079386474851274,4.088512705279331
0,7.060499387939133,7.6757294118191215
0,4.2399263074212925,4.503666723935158
1,4.190409241159413,7.413328678774036
0,7.265609394349614,6.404480927370854
0,8.194794586443246,7.834567051105717
0,6.289379606568467,6.4950584221441865
1,3.6904604487521016,6.895652087145548
0,3.978783001404841,4.586116391471292
1,5.159830527480075,8.087397149907028
1,5.641860123851315,8.844772167188223
1,3.0242681797204565,6.032455300686103
1,6.446075879159728,8.95260451090895
0,5.171026659279198,4.043130993731824
0,1.5685833627237407,1.784088208788779
0,3.142147035078539,3.229120639284945
1,3.9917426526966726,6.682655131646587
0,4.8542846223178895,4.0446980940599575
0,8.778557591007992,9.09342734821236
1,5.4763426122792564,8.343382575181481
1,3.3184562202027497,6.596893581386823
0,5.441261608614327,6.3732858738202065
1,4.295824505092238,6.2251090649323855
1,5.649516479067084,8.299716074715903
0,6.161135374071231,6.056447567415274
0,7.4184612944478765,8.145874381521201
1,4.951427008659948,7.133225499056706
1,8.277921055199666,12.245851568039969
0,6.816045325072383,6.883973275855529
0,3.5851209103756245,3.5371205795086955
1,9.419711331496927,12.320681449887473
1,5.653989026540196,8.43585751045018
1,3.329750992055529,6.853809371690106
0,8.305826102460843,7.771565725419624
0,9.15555517039689,9.328262261218816
1,4.933949472560879,7.741858639707391
0,3.9926994792488073,3.611632754991758
1,4.655250085092676,8.948237672934624
1,6.4294634550354,9.638988822412129
0,7.555713310061028,7.8623460823916
1,6.140974661727147,9.709863052061477
0,5.20344641694354,4.492771444284266
1,7.996023540608855,11.87216949516987
0,4.374327053896955,3.119848464649418
0,7.061838676733814,6.677455471714554
1,4.423874403297443,7.194358566707993
1,5.862045916021787,9.15290759850704
0,4.772874870419097,4.882234003489841
1,4.888295634694378,7.804888264345181
0,4.24522696507558,4.239228292761718
0,7.6897080623613885,7.200696550600105
0,3.53414792378293,2.7855317265408432
0,3.519535494902583,3.8827913060706134
0,9.24198713169022,9.588840187958311
0,6.955695129308663,7.747942316887192
0,0.2297726026139273,-0.16523594579367668
0,3.869482521579193,4.215890126729654
0,1.3760213248758917,1.2341679606935259
1,3.0986186131694895,6.693856105766231
0,-1.2770293324680795,-0.7660479441290087
1,4.7260208446121155,7.831625544224344
1,2.716116361677377,5.546351283344384
1,5.119810513592877,8.600276602897008
1,1.7497574822349504,5.0732097438632335
1,5.16582370634408,7.823603505300989
0,4.170167443759345,3.5062681070196295
1,8.003905930377192,10.859639480036293
1,7.822713723491249,11.580420631165353
1,6.570691206020566,10.143934785387085
1,4.346772438677575,6.790608703842285
0,8.970760790520586,8.386882082570626
1,1.8939294443203587,5.531271369160102
1,2.1928827408726748,4.62506478849376
0,4.832433800221871,5.087081462042875
0,9.508076217842238,9.200040610174076
1,4.595322186259825,8.403844648520666
1,4.633509513581436,7.248297114012496
0,2.1161792877763816,2.6878600528792957
1,6.891859170540757,9.984288497570939
0,6.906352508658708,7.032449935775851
0,6.57815040279982,5.592996112124119
0,3.7415586543052752,2.640101977702416
0,3.5865864632539886,3.4763034931203314
0,2.413755499190059,2.537208530898365
0,5.167745003521867,4.605146089653005
1,2.8391853414429966,5.294838636204826
1,2.6451669895014227,5.925903304414489
0,4.152618566178648,4.434045806407213
0,4.021687649631568,3.9528171194376047
0,3.92404294235609,4.314143802949127
1,5.932889193680523,8.34578804582045
0,5.158095604300558,4.980128145757073
0,4.423687938977765,5.247626741869602
1,5.366025856622964,8.400186921592875
1,3.0169459177907356,6.080102175084235
0,5.210557247819356,6.363530540803225
0,5.301204985689267,4.601533902764882
0,1.9939062812850388,2.392121464606094
1,6.991387508740724,10.823380648644774
1,3.2371325895460092,6.074703626296736
0,5.18061959841287,5.610434991840292
1,7.328823481070541,9.837813732465087
0,6.851353515427739,6.507987317644063
0,5.068666777137671,5.261149985161488
0,4.275001994235863,4.674285330791158
0,6.895023817151134,7.455492073354257
0,6.34938995561724,7.134204249086986
0,3.76326995991174,3.729546680634149
0,3.410212705996619,4.007018583582913
0,0.8552896366080036,0.6841372148834292
1,5.308063683367175,8.75910933916131
0,4.834604509963203,4.938348908889294
0,7.272382749285084,7.495221702826046
1,5.718110186960733,8.92986412397175
1,7.66845838834538,9.866105883446474
1,3.6052715441676586,6.043210614737272
0,7.276300661935236,7.327571381843998
0,3.9421672417906897,3.0985277019701054
1,6.555192123584544,9.970797675184421
1,2.082483214938613,5.5182611980826834
0,5.470270598732377,5.633855875171272
1,1.03062411710818,3.4700571107292193
0,4.46572502811649,5.1557944975507475
