period,treated,donor1,donor2,donor3
0,0.0821253576364136,0.07029381950172178,0.07768833166077767,0.08766583162057939
1,0.2216518358076814,0.08225785383928946,0.1486308561071826,0.21028018990975322
2,0.30098169089317584,0.2579349256194043,0.28766238982475734,0.34188060605274617
3,0.45681583253028823,0.3863863329184773,0.35895313642393856,0.4143069104887719
4,0.5740477795038653,0.5261868314187702,0.4579180862680955,0.43966935169347066
5,0.6636979359796344,0.6742712340152389,0.62686924831666,0.5912592894234407
6,0.7743025881884393,0.7660347225772908,0.7878977629339144,0.6352620258945801
7,0.8734095531396935,0.8702642542646676,0.9029872044737737,0.748821236146774
8,1.0532148789053397,1.0446943513622673,0.9881802254820882,0.8422221912102399
9,1.165486760034279,1.1536733958282241,1.0820112799649129,0.9503443864704437
10,4.265406126414554,1.2830496603314239,1.2253942870176937,1.1329060850557866
11,4.353481583562013,1.4265771961914495,1.3235693231453853,1.384820165736878
12,4.495640794524264,1.5587237628125816,1.3956552034948722,1.4031482951669476
13,4.631036461476939,1.6523153042992569,1.5564439413152709,1.5523436029335937
14,4.717344379961308,1.7506211121585609,1.665523948271735,1.6445312142997115
15,4.759562304230168,1.889503134057358,1.7366611572221478,1.7969239399853392
16,4.81446389731125,2.0283032770540945,1.8606081666687793,1.9447870937942973
17,4.90525577033414,2.1867149070050678,2.0091690873284045,2.1152743341542055
18,5.072702145640095,2.31426975617056,2.0587854340890166,2.2295225799123406
19,5.160193314177749,2.4441000368501626,2.14876273842137,2.2850437556645895
