group,treatment,outcome
source,0,0.333628889448342
source,1,2.3005924138653064
source,0,-0.5259367197893287
source,0,2.5011688279318114
source,0,-0.2856235405223195
source,1,1.5732958065215612
source,0,1.1206063120451495
source,1,1.9707942275756523
source,1,1.9810054847471597
source,0,1.4145693720798038
source,0,0.6786152455503763
source,1,2.729418546774293
source,1,0.5822895058072819
source,0,0.40054017860904645
source,0,-1.0056079355948766
source,0,-0.45499400674492185
source,0,0.1756412695628192
source,1,1.9637901979244154
source,0,0.6542183060287722
source,0,0.77069965184161
source,1,2.8456338392826224
source,0,-1.3442009431401616
source,1,4.362658262036877
source,1,1.975421131224128
source,0,1.21293335366721
source,0,-2.5143128477825987
source,0,-0.2653287997637054
source,1,0.5393179023290573
source,1,1.1386346300409818
source,0,0.050555751583816436
source,1,1.6652505614791404
source,1,3.3140170071310835
source,0,1.7689919969733512
source,0,-0.9668342127320321
source,1,1.5122348346321397
source,0,-1.0310882382320847
source,1,3.1559001794174555
source,1,2.159043604723748
source,0,0.03233116996234788
source,1,2.3124664107273354
source,0,-0.3111708910493129
source,1,1.1435299741634704
source,0,0.05105475379079683
source,1,1.732991634962564
source,1,2.3470240772746815
source,0,-1.631978568520223
source,0,0.1863585827132914
source,1,1.3107539941966242
source,1,2.1513049374135558
source,0,0.9050896093707508
source,1,1.4437522488847967
source,1,3.1967205157701803
source,0,-1.7407625850096013
source,1,3.5438288305213863
source,0,1.2384940523479142
source,1,1.1134103640895385
source,0,-0.8782254121150589
source,0,-1.4949559530892165
source,0,0.9213787921206403
source,1,1.6695891873178026
source,0,-0.4037699000588062
source,0,-1.1228149627385904
source,0,1.8119738944354276
source,0,-0.9727609296498728
source,0,0.024166138725236413
source,1,2.2159697097256945
source,0,-0.39867118284230546
source,1,1.3991092843749127
source,0,-0.3692614443734616
source,1,2.5653333327529952
source,0,-0.3470571550118728
source,1,3.625545687299529
source,0,-0.7770386858035955
source,0,0.7541067526703427
source,0,-1.7563987118345603
source,0,-0.7769250348359888
source,0,-0.8162921660792138
source,1,0.8960864668363395
source,1,2.2834725072556044
source,0,-0.11018719359214611
source,0,-2.2788277178529053
source,1,3.9955354392525124
source,1,2.176016194343763
source,0,0.0011773545157452913
source,0,1.3101188485969855
source,0,0.9888608893915005
source,0,-0.29817329389849834
source,0,-1.9525130597011677
source,1,2.564385645285465
source,0,-0.9628461747486526
source,0,1.239264458589424
source,1,1.2238363374023074
source,0,-0.45186689518997386
source,0,-1.3431810946393392
source,0,-1.262295361002834
source,0,-0.10907538069890607
source,1,1.7977404715070666
source,0,-0.4758826135208489
source,1,4.05301162400888
source,1,2.603646366119908
source,0,0.010243322926252747
source,1,-0.7573257502697328
source,1,2.8257682286943173
source,1,4.994536298114113
source,0,-0.18795025552204306
source,0,-0.810512523132182
source,1,2.163324654741101
source,0,-1.4314087326522127
source,0,0.4620605442666223
source,1,3.500218963937244
source,0,-0.6709311005343634
source,0,-0.6386407827659372
source,1,1.9203041712696594
source,1,1.4987807681022622
source,1,0.4876827921242075
source,0,-0.3852376925845517
source,1,1.4129907806919655
source,1,3.366554863334274
source,0,1.1553747187866779
source,0,1.3973129752469309
source,1,2.801725001696709
source,0,0.2057829114810756
source,0,-0.87440802744437
source,0,1.3261156276521313
source,0,0.34778943674423696
source,0,-1.248030347735052
source,1,1.0861318078120878
source,0,-1.2637451820635495
source,0,-2.052028960616588
source,0,0.38852218494913
source,0,-1.237875371832547
source,0,-0.7559452808307505
source,0,0.03883962864776756
source,0,-0.18789292388725287
source,0,-0.7134418413281709
source,0,1.5189290130617579
source,1,0.47334550824765076
source,0,-1.4833661483504066
source,1,2.457843907588537
source,0,-0.6261329643506333
source,0,-0.6652477764685184
source,1,0.9209639688540385
source,0,0.33820118647696773
source,0,0.2256318746131296
source,0,0.11912310867344739
source,0,-0.5829569213210066
source,1,1.2489703965886947
source,1,1.8369061614281497
source,0,0.9665398092365121
source,0,1.568159398136567
source,1,3.111355313029831
source,0,0.5057373418959664
source,1,2.982176172838533
source,1,0.8180641301127547
source,0,-0.7137702745857608
source,0,0.524398505700865
source,1,1.8818391329515676
source,0,0.337506379486346
source,0,0.979465191023909
source,0,0.8240282844308259
source,0,-1.0909635100661974
source,1,2.011844306098541
source,0,-0.9208225818613859
source,0,-0.7773180386400838
source,1,0.28913099491338046
source,0,0.13360044235454838
source,1,0.21522543086796797
source,1,2.394133238852177
source,1,3.358447610982771
source,0,0.5303361189805131
source,1,2.05188835783576
source,0,1.534448125403096
source,0,0.327445697369561
source,0,-0.8627433192868694
source,1,2.125106451731154
source,0,1.9596915005941495
source,1,0.9073611653576823
source,0,-1.3801238797347277
source,1,2.6149086473415393
source,0,-0.22405316796308686
source,1,1.4679981245001477
source,1,0.7408205797981604
source,1,0.04988776201325562
source,1,0.5435699611685794
source,1,3.61492552532736
source,0,-0.008874243144477798
source,1,0.03763551794656261
source,0,1.1840859383187636
source,0,1.2348339670139743
source,1,3.2292339556828358
source,0,-0.42253130948400003
source,0,-0.26881061174257176
source,0,0.1376278637080844
source,0,1.4010465079946839
source,0,-0.554901019088634
source,0,-0.7544132445807141
source,0,0.6956768683571586
source,1,3.2092547338496615
source,0,-0.05279069421655739
source,1,2.6704399078019394
source,1,2.112446764074033
source,0,-0.2512446061045212
source,0,-0.8292781984858514
source,0,-1.1538599014469488
source,1,1.3852339382294865
source,1,1.023940814131477
source,1,2.28348253305943
source,1,3.2175457674167873
source,1,2.2040093513708996
source,1,1.0792966603133292
source,1,2.8553770810259596
source,1,2.2968814960997084
source,1,2.4948260207117805
source,0,-0.5193677110823626
source,1,3.1333765723184923
source,1,3.128265698178955
source,0,-0.18406714465843874
source,0,0.718451846602924
source,1,3.101489152071668
source,0,-0.46537222608852075
source,1,1.9187613523651952
source,0,0.07979135720240657
source,1,0.9021798417542024
source,0,0.44166251155440733
source,0,1.022522815599407
source,1,1.8561139837821523
source,0,0.3398500543522677
source,1,3.3985807959181766
source,0,-0.405151874802948
source,1,2.3602649976270036
source,0,-0.5698122016696738
source,0,-0.5971062990694141
source,1,2.341893261472787
source,0,0.24136956731328738
source,1,2.555069839527698
source,1,2.0761587496244496
source,0,0.46514281729915463
source,0,1.6655189720713688
source,0,1.0599104053055772
source,0,0.3383816987444884
source,0,0.5049069983366706
source,1,1.7010979864957974
source,1,1.840810908862071
source,0,0.49246093067146557
source,0,0.08765022471585904
source,1,2.793018676231519
source,0,1.2670730034460251
source,1,1.8982340390062356
source,0,-2.009216539117004
source,1,4.034188925790612
source,1,1.3475055669287481
source,0,0.1951617030986796
source,1,2.7274922867269735
source,1,3.4089735388430826
source,1,3.806034208570127
source,0,-0.36387313776746005
source,0,1.1896897669429274
source,0,0.19797991337486456
source,0,2.7432036702123757
source,0,1.1004447242600397
source,1,1.8225259115876842
source,0,-0.7930728171948959
source,0,-2.6265897245139516
source,0,0.6746759298801382
source,0,1.0084487579907535
source,0,0.7454604443999577
source,1,-0.35341444736921
source,1,0.741989010310534
source,1,2.480823477896787
source,0,1.7855237354807911
source,1,1.9444461972772968
source,0,1.0915182565916834
source,0,-1.034406823438497
source,0,0.20712803265232385
source,0,-0.27466013095650416
source,1,3.187589473830907
source,1,1.460163669063617
source,1,3.6770126838649397
source,0,-0.3077124836199879
source,0,-1.0698629961521668
source,0,-1.0363073177379178
source,1,1.3775728676521415
source,0,0.37056732792271646
source,0,-0.6099799750411228
source,0,-0.8204773756509719
source,1,2.889808051534406
source,1,-1.2112186104384657
source,0,-0.4298816364356501
source,1,0.665761852264857
source,1,1.1314455616561783
source,1,2.2437499235890863
source,1,1.794767354964955
source,1,1.7044340355295664
source,0,1.189508878964265
source,1,1.9863818402535798
source,1,3.806056873606912
source,0,0.712191778000765
source,1,1.0332902784676912
source,0,1.9340919702848542
source,1,2.2781053444910118
source,0,1.8717478592398793
source,1,1.7339044569672408
source,0,0.2722317474079267
source,0,0.43211416532507396
source,0,-0.16811377421771959
source,0,1.271919995586886
source,1,3.9325820085043093
source,0,-2.2934262786165016
source,0,0.8148183749915111
source,1,1.105496190148815
source,0,-2.592808453869774
source,0,0.5170182564641927
source,0,0.5192734974998787
source,1,2.6801271750618842
source,1,2.3710278779035248
source,1,2.875025223283675
source,1,1.3969511986557555
source,1,2.2633343891549185
source,1,2.698166268428569
source,0,1.3529561225593763
source,0,0.04384547275213377
source,0,-0.21379556529750984
source,0,-0.05523889451766535
source,1,0.8064068945539111
source,0,0.769624285721292
source,1,0.5426830932016276
source,0,0.39096410303736256
source,0,0.08457422225945421
source,0,-1.5509725654172262
source,0,-1.4939461017317959
source,1,1.1463085270202378
source,1,1.6560580225047303
source,1,3.480479281651414
source,0,-0.11073516632879911
source,0,0.546486935671916
source,0,1.266605377278106
source,1,3.0731672911525973
source,0,-0.0070597128706472384
source,1,1.2944747244532806
source,1,2.4988545596943528
source,0,-0.68557181853682
source,1,3.8148046525224815
source,1,2.8677984994352395
source,0,0.20869630408367235
source,1,2.5126717660618847
source,1,2.1782864895135976
source,0,-0.3683296299136234
source,0,0.498609928239584
source,0,-0.2428919003171873
source,1,3.936688432437557
source,0,-0.6927034002684951
source,0,0.5087974252632415
source,0,-0.7827264930341771
source,0,-0.7931641335333787
source,0,-1.7860898641824954
source,0,0.4114751047730993
source,0,-0.5324659110452589
source,1,3.083389518816319
source,1,2.413295392616854
source,0,0.14822465802930038
source,1,0.5895012260157535
source,0,0.5849053048679346
source,1,1.3378538480805497
source,0,-1.432838696151378
source,0,0.43051347952881786
source,0,-1.2582926205241107
source,0,-2.0911247003690248
source,1,3.297134454803173
source,0,-0.5607320028559994
source,0,-1.7444880584627906
source,1,1.0374081893235925
source,1,1.278948402928323
source,0,1.1442272902939772
source,0,-1.6629677600826385
source,1,0.6610937182506755
source,0,0.9804029948857341
source,1,1.5502672044214876
source,1,2.2279527380113477
source,0,-0.49092533006785505
source,1,4.020570156821988
source,0,-1.2896951559203962
source,1,2.282115667278242
source,1,3.5029565872574153
source,1,1.625013989726734
source,1,1.2462259445908117
source,1,2.7671030308171414
source,1,3.004064810276377
source,0,-0.7999036849913026
source,1,3.4621965939054373
source,1,2.0512210921478884
source,1,2.508761296128267
source,1,3.4882811905395124
source,0,0.768780225788399
source,0,-0.00024917541817413185
source,1,1.3284078934824057
source,1,4.708505650682349
source,0,-0.7890161780532787
source,0,0.31812909398027156
source,0,0.5099893873676294
source,1,2.5573094686182767
source,1,4.128016931906501
source,0,0.04757039508893205
source,0,-0.0950659358636343
source,1,3.5522780576075412
source,1,1.8641158539333085
source,0,0.8760243380191018
source,1,2.1943898385966394
source,0,0.9209749161571599
source,1,2.725448277086702
source,1,1.5968879005982193
source,1,0.15598737834163012
source,1,0.3260912854558218
source,0,-1.8403785910958146
source,1,1.9088033527387491
source,1,-0.3526255700543022
source,0,-0.15999032037438216
source,0,0.13376734707099258
source,0,0.8562264445972516
source,1,2.504379672660189
source,1,2.901885068207812
source,1,2.413905124235392
source,0,-0.3235415400584146
source,0,-0.10598294391407653
source,0,-0.8516439622642528
source,0,0.22808652833895818
source,1,0.4158044496234632
source,1,3.0660354540063075
source,0,-0.9565938866318475
source,1,2.1538453216779843
source,1,2.321478335307588
source,0,1.1627229196543776
source,1,0.3188366418966764
source,0,-0.3254592029026878
source,1,2.5498478356799934
source,1,3.751183513012129
source,0,-0.03882772723444496
source,0,-0.594345708009482
source,0,2.026988756200049
source,0,0.8025606718547863
source,0,1.3736332718451807
source,1,0.7904592723003749
source,1,2.521129104119611
source,1,0.9166747390869601
source,1,0.6949559968570829
source,1,2.581880063339627
source,0,0.6518473989183489
source,1,1.5179880818740317
source,0,1.4320372285575054
source,0,-0.36901978233940563
source,1,1.7300189860958588
source,1,1.9639612250056382
source,0,-0.2429427766523051
source,0,1.2772621273506148
source,0,-1.0417033354840541
source,1,1.245656809236532
source,1,0.8085924531228694
source,1,3.883517072995316
source,1,1.6754806796606108
source,0,-0.7685165669797679
source,0,-0.2873076878663312
source,1,2.849056101242407
source,0,0.6637654719829187
source,0,-0.5751789549976456
source,1,1.6004138266089734
source,1,0.5445295489078188
source,0,0.13872332115893443
source,1,3.2823174359550897
source,1,1.4182228379914967
source,0,0.6358130304064924
source,1,1.4178870055186996
source,1,0.9043509510756236
source,1,2.680279802794473
source,1,4.347649387588152
source,1,2.5434236092876237
source,1,1.5861438131400565
source,0,-0.3493659598831202
source,0,1.90918538943165
source,0,0.30698001983615286
source,0,-0.7659160206199607
source,1,1.9377749366269181
source,1,2.2151404628615485
source,0,0.4692137015993424
source,1,3.5120388140940317
source,0,1.2758984940957117
source,1,2.1982387764800166
source,1,1.9585047875741162
source,0,0.3959857427687619
source,1,1.3917665076916506
source,1,2.9800093436445145
source,0,-0.20347179859728745
source,1,2.490901309117073
source,0,1.7132535703560028
source,0,0.5528064705268864
source,1,2.2307031660256826
source,1,1.4826125428451502
source,0,-0.07807405751548097
source,1,0.8639494021003238
source,1,2.533200146756555
source,1,-0.13436142848167076
source,0,0.9684065655206932
target,0,0.44522621884956903
target,1,0.3620082716581061
target,0,-1.803125138250496
target,0,1.2596020019837215
target,0,0.11671701988951114
target,0,-0.3280656895877746
target,1,2.060970835983288
target,0,0.24689707447034587
target,1,1.6318587110681808
target,1,-0.48628052838432656
target,0,-1.5396377299908783
target,1,2.622420654141623
target,0,0.8387271505173557
target,0,0.5731798886679742
target,0,-0.8797689942668794
target,0,1.1477848931469712
target,0,-0.5561172173807661
target,0,1.95230019162341
target,0,-1.1202344841070908
target,0,-0.7879314545302001
target,0,-0.22717319821830223
target,0,1.2709507208613484
target,0,-0.05261710608001142
target,0,0.056523523024346885
target,0,-0.5873868255706362
target,0,0.4021379799616532
target,0,-0.1060957411410822
target,0,-1.1764535758720782
target,0,0.1909372238225695
target,0,0.22621315293753247
target,0,3.524700973190887
target,0,-0.9165391185304679
target,0,-1.259063613853309
target,0,0.4185513908904489
target,0,-1.489254625756697
target,1,-0.10957522181073509
target,0,-2.1553480348137217
target,1,0.3381396522113471
target,1,0.37516838108718176
target,1,-0.42489326051100607
target,0,-0.3754256045184502
target,0,-3.5489717215980088
target,0,0.7376486719675416
target,0,-0.8351909677760714
target,0,-0.61467551623837
target,0,0.8803125155404525
target,1,2.0576158640759963
target,1,0.5551409359443173
target,0,0.6776861334872364
target,0,2.3233419124081243
target,1,-0.018275371689837616
target,0,1.1306620670346437
target,1,-0.16965860654166587
target,1,3.2631390935202136
target,0,-1.067890585671291
target,0,-1.1251833006816088
target,1,3.2238152117909538
target,0,1.082362418633647
target,0,-1.0186388511199338
target,0,0.1910531081599123
target,0,-1.0649278507298459
target,1,-0.8891066377111096
target,0,0.28392767719123013
target,0,-0.5346332517102179
target,1,0.08124966561774549
target,0,1.9570726194185455
target,0,-1.368030268252037
target,0,0.2159679373208063
target,0,1.6198673557184828
target,0,-0.38408302280539236
target,0,-1.1012631761711007
target,0,0.44662245670469214
target,0,0.6835495853735624
target,0,1.3148410450369645
target,0,2.806814177240265
target,0,-0.6859365224361615
target,0,0.29378100827674025
target,1,-0.4038604744699441
target,0,0.9995654993209958
target,0,0.2755749640436487
target,1,1.231965901812003
target,0,-0.9270907688804151
target,0,-0.5226406280218288
target,0,0.35449951471906177
target,0,-1.449255581684492
target,0,-0.46067936726294584
target,1,1.5250170651979014
target,0,-2.3094301893185056
target,0,-1.5769460177598955
target,1,0.5099931959708737
target,1,3.85234759910597
target,0,-1.246087714087655
target,0,-0.08368743006612805
target,0,-1.56084562029073
target,0,-1.1646047882213344
target,0,-2.1615125573215423
target,0,1.0054535320105167
target,0,-1.9883193861525639
target,0,1.3605165197170013
target,1,2.201845794082466
target,1,1.3868972294001096
target,0,1.4100388430897595
target,0,4.654801914171145
target,0,0.7162884616895888
target,0,-1.6800909329961864
target,0,2.2335264895688796
target,0,0.27916718478845126
target,1,4.666685101711077
target,0,-0.75907533291509
target,0,1.9229160340358336
target,0,-0.00023515597090347095
target,0,3.9850925241962365
target,0,-0.42240113324285544
target,0,4.502502956685473
target,1,2.1597390792731535
target,0,1.2704471371727446
target,0,2.5504986659040965
target,1,0.3183685647918515
target,0,1.4536452690401314
target,0,-0.43913001130620255
target,0,0.226678318981396
target,0,0.12459188611588215
target,1,2.358616104647714
target,0,0.7952764908779979
target,1,0.6372076199767983
target,0,0.18728125649235364
target,0,-3.5015037290397153
target,0,1.4852604971766723
target,0,2.540912555521677
target,1,1.785942073023075
target,1,-0.9090333202091334
target,0,1.114421454340703
target,0,-1.145654274900331
target,0,0.2734745170919187
target,1,2.5282636910945695
target,0,0.8196755692779832
target,0,1.6212828747900645
target,0,0.21957095959430956
target,0,0.26004241493555047
target,0,1.1051855616654902
target,1,1.3929111456620435
target,0,-1.0318536284172042
target,1,2.1780276372343312
target,0,-1.6932944665678247
target,0,-0.12133522078229156
target,0,-2.0666651885959917
target,1,0.6677810507934561
target,0,-0.7700113151072053
target,1,0.02367588573629975
target,1,3.150797831167787
target,0,1.5269873996984544
target,1,3.471019114168907
target,0,-0.2817663342634885
target,1,0.8495880172181328
target,1,2.705377207882205
target,1,1.6926193426648486
target,0,0.18527619354874547
target,1,-2.3157019509224996
target,0,1.1347719047272187
target,0,0.9359624736938483
target,0,-0.008124634664483007
target,1,2.7237716616960905
target,0,0.9025529842058444
target,0,-1.0450276272696746
target,0,-0.32967937640678924
target,1,-0.011677792507547302
target,0,2.193358479862737
target,1,2.9657707178716413
target,0,-1.2208760082730667
target,1,2.428313274742336
target,0,0.4178885022555236
target,0,-1.028929388248901
target,0,0.18649051294270544
target,0,1.2875770461517755
target,0,1.409879291195335
target,1,4.997975544103765
target,1,1.6414337297576485
target,0,-0.3566834011669643
target,1,2.3432103958167554
target,1,1.2255561913984823
target,0,-0.877356660424318
target,0,-1.3886748537996783
target,0,-5.141483292457497
target,0,1.102259145311259
target,1,-0.9569605981075395
target,0,-1.3197801649415273
target,0,0.43866538679253786
target,1,1.0177398081339715
target,1,4.72394587376739
target,0,-2.2638599596207922
target,0,3.3580816438500314
target,0,2.0708769135758684
target,1,2.8636445776474555
target,1,3.658968264716313
target,0,0.6069179980740605
target,0,-2.5548794958222962
target,0,0.7722775216738889
target,1,-0.7210130877855119
target,0,-0.7925434185236875
target,1,1.3828768534263927
target,0,-1.3665937768564602
target,1,2.919066705546709
target,0,-0.32063636549875796
target,0,0.6139623465066996
target,0,-0.014119743540545952
target,0,0.18926873951020734
target,0,-1.3303009266402768
target,0,-1.761062167802606
target,0,-0.2306530055383299
target,0,-1.4491714154223205
target,0,2.090333557436359
target,1,-0.5646526256878217
target,1,5.005503466566033
target,0,0.45303769129092625
target,0,0.10399035735082027
target,1,0.6896006261701111
target,0,0.9853815485289699
target,0,-0.30641251608153564
target,0,0.4507112917019246
target,0,1.2627347505596827
target,0,1.0039642037904708
target,1,3.359791801421553
target,0,0.8067616104911723
target,1,0.07309846768107908
target,1,-1.6196840042409515
target,1,1.8165505939364248
target,0,0.3381947316835575
target,0,2.8888947226658486
target,0,-0.17376092539642188
target,0,0.5617384546713684
target,1,2.6657646086485087
target,0,0.7701121814812639
target,1,2.7659156877259417
target,0,-1.227313962188788
target,1,0.03545049934882716
target,0,-0.4208412458350052
target,0,-3.2610995845396076
target,1,1.440630614598051
target,0,-0.9893746386123174
target,0,0.4833200004416018
target,0,-0.39760318350485757
target,0,-1.5231492189519535
target,0,1.9662852945135971
target,0,0.1237786563119741
target,0,1.2942882621379161
target,1,1.7752716911311381
target,0,0.6959926968105771
target,1,-0.5414935869771664
target,0,1.9171552559344394
target,1,2.818022475564443
target,0,-0.02826045100870861
target,0,0.43200314080989377
target,0,1.5039087903393829
target,0,-0.5580003061656924
target,1,-0.8746206219967778
target,1,0.9701040384250199
target,0,0.22858423823211033
target,1,1.4513403118899497
