state,treatment,outcome,cost
mild,0,-1.6285416299319317,0
severe,1,4.838965356469772,1000
mild,1,3.292410336482976,1000
severe,0,1.2694775479547709,0
severe,0,0.8598752517311199,0
mild,1,0.9530924243654395,1000
healthy,1,0.7802704486066782,1000
mild,0,1.059433542764018,0
mild,1,1.6554568138207886,1000
mild,0,-0.7628497055100922,0
healthy,0,-0.27540780031212286,0
severe,0,-0.5664999617038042,0
healthy,0,0.2722618894996507,0
healthy,0,-1.435625688377248,0
mild,1,3.6416080300805826,1000
mild,0,-0.5636234932384073,0
healthy,0,-1.0134902459079178,0
severe,0,-0.402008613770025,0
severe,0,0.26996479069070745,0
mild,1,0.44344660990006,1000
severe,0,-0.5730894839061049,0
severe,1,4.937170513042766,1000
severe,1,4.3260417247999925,1000
healthy,0,-0.9617300562047266,0
healthy,1,1.4474786214516142,1000
mild,0,0.9266422490169065,0
severe,0,0.911059385172746,0
mild,0,0.5664059640827552,0
healthy,0,-1.1889022270149727,0
mild,0,-0.02351347600276757,0
healthy,1,1.8548124576126417,1000
healthy,1,-0.7115485574154541,1000
mild,0,-0.9857149480002964,0
severe,1,5.269778212076003,1000
mild,0,0.7604245749466184,0
severe,1,5.681114088945546,1000
mild,1,2.3215049325886086,1000
mild,0,-1.0029838362498793,0
mild,1,2.4903365327472216,1000
healthy,1,-0.11936098147005025,1000
mild,0,0.34088823650752365,0
healthy,0,-0.12202277229945016,0
healthy,0,-0.3147919328118245,0
healthy,0,2.3303113309868,0
mild,1,0.8151008941237157,1000
mild,1,1.2626653947315845,1000
mild,1,3.0686176933653435,1000
mild,0,1.7420046888276262,0
healthy,0,0.6692697117668697,0
severe,0,-0.22762072383187715,0
severe,1,4.209577473154292,1000
healthy,1,1.3624741969408345,1000
healthy,1,0.49208310560657276,1000
severe,1,4.477922332142413,1000
severe,0,1.0700934765576646,0
severe,0,-0.15002888956305954,0
severe,0,-1.3131120336729256,0
severe,1,5.119111654899823,1000
mild,1,1.6538985942215332,1000
severe,0,-0.9968649069043531,0
mild,1,2.3068334809095266,1000
mild,1,2.452132839866054,1000
healthy,0,-2.519789060176776,0
healthy,1,1.5913407301596714,1000
severe,0,1.004781536501118,0
healthy,0,-0.11546319217083408,0
severe,1,4.209805585999411,1000
healthy,1,1.041186089920945,1000
healthy,0,0.0025773385198078714,0
severe,0,-0.5319550592590642,0
healthy,0,-0.5100771427669084,0
severe,0,0.1775137807491287,0
healthy,0,1.3277321619284734,0
severe,0,-1.3155326489861867,0
mild,0,0.3105291563573288,0
severe,0,-0.8874067649070946,0
healthy,1,0.8180955776662353,1000
mild,1,2.5759998819558043,1000
mild,0,-1.2343048343016276,0
severe,0,0.5722481715726954,0
severe,0,0.25845742334004634,0
mild,0,1.3040347330469513,0
severe,1,5.0220369913145015,1000
severe,0,0.2856904321704087,0
severe,0,0.42756130389941416,0
healthy,0,1.4188923606897856,0
healthy,0,-1.8170812314627702,0
mild,0,-1.5552362732877476,0
mild,1,1.897334877539689,1000
mild,0,0.3632925199080141,0
severe,0,-1.6558035787763687,0
severe,1,4.937155419365427,1000
severe,1,4.246323613785931,1000
mild,0,-1.293327766838389,0
mild,0,-0.17340163707015763,0
healthy,1,1.2119249122815867,1000
severe,0,1.8501826886593113,0
severe,0,2.114487733831433,0
healthy,0,1.244739023886394,0
mild,0,0.32339865279207103,0
mild,0,-0.10825930897391856,0
mild,1,2.1491272790267737,1000
severe,1,5.148118469116792,1000
healthy,1,1.6190969277880043,1000
healthy,0,1.5997682250488774,0
mild,1,0.8353640799749829,1000
severe,1,4.702769771362376,1000
healthy,1,1.4575293007124284,1000
severe,0,-0.1268399422754113,0
mild,1,1.5872724554735906,1000
mild,0,1.1591046892926213,0
healthy,1,-0.0085995230160274,1000
mild,0,0.657655064798213,0
healthy,1,0.18221506714918811,1000
mild,0,2.2167744177045985,0
healthy,0,1.2515621760635098,0
mild,1,1.6697176906127522,1000
mild,0,0.2774830017862672,0
severe,1,5.586842670135408,1000
severe,1,4.5812742282128935,1000
mild,0,-0.3153435017202587,0
healthy,1,1.3389591357312298,1000
mild,1,1.994529303024678,1000
severe,0,-1.405288331748425,0
healthy,1,1.0645192045565834,1000
mild,0,0.9642381236859054,0
mild,1,1.6732752346315882,1000
severe,0,-0.7730373945222606,0
healthy,1,1.8284784310624074,1000
healthy,0,0.15428067891142083,0
healthy,1,0.42018769510349746,1000
mild,0,-0.08203686787240141,0
severe,0,1.4551829076890546,0
mild,1,2.2619775331113257,1000
severe,1,5.442823646549171,1000
severe,1,4.8438850109052725,1000
healthy,0,0.015159737062577627,0
mild,1,1.6831039435068416,1000
healthy,1,0.9894608382049022,1000
severe,0,-1.1108545269549335,0
severe,0,0.23372704498171368,0
healthy,1,0.13381903330396816,1000
healthy,1,-0.013705019402064922,1000
severe,1,5.446232964967712,1000
mild,1,2.0006284473025304,1000
healthy,1,-0.493262410679576,1000
mild,1,1.1151662165936926,1000
severe,1,5.200848880489482,1000
healthy,1,-0.28257957071158823,1000
healthy,1,-1.157172773608983,1000
severe,0,0.8237559484022461,0
healthy,1,-0.7377999057894531,1000
healthy,0,-0.3563173347334294,0
mild,0,-0.916324225371319,0
healthy,1,-0.442736126324885,1000
mild,1,2.3401421525569144,1000
healthy,0,-0.6555378470417853,0
healthy,0,-0.22338221231092636,0
severe,0,-1.8117714811933656,0
severe,1,6.749746626150046,1000
healthy,0,0.35814083468283303,0
mild,0,1.396343600025457,0
severe,0,1.2775378773977357,0
severe,0,1.1875902708542208,0
severe,1,4.752372288956428,1000
healthy,0,0.045854940258090136,0
mild,1,1.0036176669477312,1000
mild,0,0.08796473436076391,0
healthy,0,-1.2443152956718262,0
severe,1,6.412621270431965,1000
mild,0,0.8967863843297387,0
mild,1,2.622854443605299,1000
healthy,1,-0.06140498638308034,1000
mild,1,3.1681075105146883,1000
mild,1,0.4191114403122238,1000
severe,0,-0.10557431347891519,0
severe,1,5.153144305827145,1000
severe,0,1.6290953971612956,0
mild,1,0.7040589584276415,1000
severe,1,6.355847997765583,1000
healthy,0,1.1575304403061144,0
severe,1,6.211469290649096,1000
severe,1,4.426571091283536,1000
mild,0,0.44960422111810194,0
severe,1,5.902690299903834,1000
healthy,1,0.7941797090484206,1000
severe,0,0.3568595494498588,0
severe,0,0.48607397037978745,0
healthy,0,-0.6374558458591073,0
healthy,0,-0.6532006222709613,0
severe,1,5.776308462658417,1000
mild,1,1.3981323735030347,1000
healthy,0,0.3317560288819894,0
healthy,0,-1.2816670842011841,0
mild,0,-0.2136948736798685,0
healthy,1,2.0063918283402797,1000
healthy,1,0.7172835835312044,1000
mild,0,1.1921892451804283,0
severe,1,6.682435267565957,1000
mild,0,0.9053021564067626,0
severe,1,5.438554765220677,1000
healthy,1,0.3982262250514671,1000
healthy,1,0.2868225666849903,1000
severe,1,4.679033403405935,1000
mild,1,3.1013337707986386,1000
healthy,0,0.21828224025136883,0
mild,1,2.8578255492741698,1000
severe,1,6.648805172599241,1000
severe,0,1.9332345027234983,0
severe,0,0.6997631904612414,0
mild,1,2.6953292922724184,1000
mild,0,-0.1999256365626488,0
